"ITEM   ","WINE DESC                        ","BEER DESCR                        ","CU/ML BR ","CU/ML  ","U/C"," CASE UPC    "," BOTL UPC   ","      RETL UPC","SUB","SUB DESCRP     ","BRN","BRAND DESC    ","SP ","                "
"00112  ","POLAR BOTTLE                     ","24/07OZ BOTTLE                    ","24/207   ","       "," 24","087194021820 ","087194021820","00087194021820","POL","POLAR BEER     ","POL","POLAR         ","FB ","THE FLORIDA BREW"
"00116  ","CORONA CAN EXTRA                 ","24/355 CAN                        ","24/355   ","       "," 24","000000000000 ","000000000000","00000000000000","COR","CORONA EXTRA   ","COR","CORONAS BEER  ","CM ","CERVECERIA NAC D"
"00118  ","CORONA EXTRA 6 PACK              ","6/325                             ","6/325    ","       ","  6","501064191398 ","501064191398","00000000000000","COR","CORONA EXTRA   ","COR","CORONAS BEER  ","CM ","CERVECERIA NAC D"
"00119  ","CORONA EXTRA                     ","BTL 24/355                        ","24/355   ","       "," 24","501064191459 ","501064191466","07501064191466","COR","CORONA EXTRA   ","COR","CORONAS BEER  ","CM ","CERVECERIA NAC D"
"00120  ","POLAR BEER CAN                   "," 24/12OZ CAN                      ","24/355   ","       "," 24","000000000000 ","000000000000","00000000000000","POL","POLAR BEER     ","POL","POLAR         ","FB ","THE FLORIDA BREW"
"00121  ","CORONITA EXTRA                   ","24/207                            ","24/7 OZ  ","       "," 24","080660954097 ","080660954011","00080660954011","CTA","CORONITA EXTRA ","COR","CORONAS BEER  ","CM ","CERVECERIA NAC D"
"00122  ","ALFA PILS                        ","12/30CL                           ","12/30CL  ","       "," 12","000000000000 ","000000000000","00000000000000","ALB","ALFA BEER      ","ALB","ALFA          ","MB ","MEENS BIERBROUWE"
"00123  ","CORONITA EXTRA 6 PACK            ","6/190                             ","6/190    ","       ","  6","080660954011 ","080660954011","00000000000000","CTA","CORONITA EXTRA ","COR","CORONAS BEER  ","CM ","CERVECERIA NAC D"
"00125  ","CORONA EXTRA                     ","BTL 24/330                        ","24/330   ","       "," 24","000000000000 ","000000000000","00000000000000","COR","CORONA EXTRA   ","COR","CORONAS BEER  ","CM ","CERVECERIA NAC D"
"00127  ","POLAR                            ","24/12OZ BOTTLE                    ","24/12 OZ ","       "," 24","087194000368 ","087194000368","00087194000368","POL","POLAR BEER     ","POL","POLAR         ","FB ","THE FLORIDA BREW"
"00128  ","POLAR                            ","24/8OZ CAN                        ","24/8 OZ  ","       "," 24","591446006396 ","591446006396","07591446006396","POL","POLAR BEER     ","POL","POLAR         ","FB ","THE FLORIDA BREW"
"00129  ","LIEFMANS FRUITESSE               ","24/250                            ","24/250   ","       "," 24","000000000000 ","000000000000","00000000000000","LIF","LIEFM FRUITESE ","LIE","LIEFMANS      ","MO ","MONARQ B.V.     "
"00131  ","POLAR                            ","24/8.45OZ CAN                     ","24/8.45 O","       "," 24","000000000000 ","000000000000","00000000000000","CPB","POLAR BEER     ","CPL","CERVECERIA POL","CP ","CERVECERIA POLAR"
"00132  ","EDEL PILS                        ","12/50CL                           ","12/50CL  ","       "," 12","000000000000 ","000000000000","00000000000000","EDE","EDEL BEER      ","EDE","EDEL          ","MB ","MEENS BIERBROUWE"
"00133  ","EDEL PILS                        ","24/33CL                           ","24/330   ","       "," 24","000000000000 ","000000000000","00000000000000","EDE","EDEL BEER      ","EDE","EDEL          ","MB ","MEENS BIERBROUWE"
"00134  ","BRASA BEER                       ","24/275ML                          ","24/275   ","       "," 24","711527000894 ","000000000000","00000000000000","BRB","BRASA BEER     ","BRA","BRASA         ","MB ","MEENS BIERBROUWE"
"00135  ","POLAR PREMIUM BEER               ","24/12OZ CAN                       ","24/355   ","       "," 24","881000629900 ","881000628200","00000000000000","PPB","POLAR PREMIUM  ","POL","POLAR         ","FB ","THE FLORIDA BREW"
"00136  ","CORONA CERO                      ","BTL 24/355                        ","24/355   ","       "," 24","000000000000 ","000000000000","00000000000000","CZO","CORONA CERO    ","COR","CORONAS BEER  ","CM ","CERVECERIA NAC D"
"00305  ","GUINNESS STOUT                   ","24/330                            ","24/330   ","       "," 24","083820125245 ","083820125245","00000000000000","GUN","GUINNESS       ","GUI","GUINNESS BREW.","GI ","GUINNESS BREW.  "
"00306  ","POLAR MALTA                      ","24/12OZ BOTTLE                    ","24/355   ","       "," 24","000000000000 ","000000000000","00000000000000","PMA","POLAR MALT     ","POL","POLAR         ","FB ","THE FLORIDA BREW"
"00311  ","POLAR MALTA                      ","24/12OZ CAN                       ","24/12 OZ ","       "," 24","591446002173 ","591446002173","17591446002173","PMA","POLAR MALT     ","POL","POLAR         ","FB ","THE FLORIDA BREW"
"00312  ","POLAR MALTA                      ","24/7OZ BOTTLE                     ","24/7 OZ  ","       "," 24","591446006768 ","087194000399","00087194000399","PMA","POLAR MALT     ","POL","POLAR         ","FB ","THE FLORIDA BREW"
"00401  ","COCA COLA SOFT DRINKS 6 PACK (4) ","6/590                             ","6/590    ","       "," 24","049000000443 ","049000000443","00000000000000","COL","COCA COLA 20OZ ","COL","COCA COLA     ","CB ","CURACAO BEVERAGE"
"00402  ","COCA COLA SOFT DRINKS BOTTLE (12)","1/1L                              ","1/1L     ","       "," 12","049000006421 ","049000006421","00000000000000","CCC","COCA COLA 1LTR ","COL","COCA COLA     ","CB ","CURACAO BEVERAGE"
"00403  ","COCA COLA SOFT DRINKS BOTTLE (8) ","1/2L                              ","1/2L     ","       ","  6","049000005516 ","049000005516","00000000000000","CCA","COCA COLA 2LTR ","COL","COCA COLA     ","CB ","CURACAO BEVERAGE"
"00404  ","5 HOUR ENERGY ORANGE             ","12/60                             ","12/60    ","       "," 12","000000000000 ","000000000000","00000000000000","5HR","5 HRS ENY DRIN ","5HR","5 HRS ENY DRIN","MO ","MONARQ B.V.     "
"00410  ","SAN BEN ICE TEA LEMON            ","24/330                            ","24/330   ","       "," 24","001620012789 ","000000000000","00000000000000","ITL","SBICETEA LEMON ","SAB","SAN BENEDETTO ","SF ","STANSFELD SCOTT "
"00411  ","SAN BEN ICE TEA PEACH            ","24/330                            ","24/330   ","       "," 24","001620012802 ","000000000000","00000000000000","ITP","SBICETEA PEACH ","SAB","SAN BENEDETTO ","SF ","STANSFELD SCOTT "
"00412  ","SAN BEN ICE TEA GREEN            ","                                  ","24/330   ","       "," 24","001620012826 ","000000000000","00000000000000","ITG","SBICETEA GREEN ","SAB","SAN BENEDETTO ","SF ","STANSFELD SCOTT "
"00413  ","SAN BEN ICE TEA LEMON            ","6/1500                            ","6/1.5L   ","       ","  6","000080165484 ","000000000000","00000000000000","ITL","SBICETEA LEMON ","SAB","SAN BENEDETTO ","SF ","STANSFELD SCOTT "
"00414  ","SAN BEN ICE TEA PEACH            ","6/1500                            ","6/1.5L   ","       ","  6","000000000000 ","000000000000","00000000000000","SAB","SAN BENEDETTO  ","SAB","SAN BENEDETTO ","SF ","STANSFELD SCOTT "
"00415  ","SAN BEN ICE TEA GREEN            ","                                  ","6/1.5L   ","       ","  6","000000000000 ","000000000000","00000000000000","ITG","SBICETEA GREEN ","SAB","SAN BENEDETTO ","SF ","STANSFELD SCOTT "
"00416  ","SHARK STIMULATION 250ML          ","24/250                            ","24/250   ","       "," 24","851123290272 ","851123290272","08851123290272","SHK","SHARK ENERGYDR ","SHK","SHARK         ","SK ","SHARK AG        "
"00417  ","SHARK RED BERRIES                ","24/250                            ","24/250   ","       "," 24","851123290340 ","000000000000","00000000000000","SHR","SHARK REDBERRY ","SHK","SHARK         ","SK ","SHARK AG        "
"00418  ","SHARK APPLE & MELON              ","24/250                            ","24/250   ","       "," 24","851123290333 ","000000000000","00000000000000","SHA","SHARK APPLEMEL ","SHK","SHARK         ","SK ","SHARK AG        "
"00419  ","POLAR GINGER ALE                 ","24/12OZ CAN                       ","24/12 OZ ","       "," 24","000000000000 ","000000000000","00000000000000","PIB","POLAR GINGER   ","POB","POLAR BEVERAGE","PC ","POLAR CORPORATIO"
"00424  ","POLAR TONIC                      ","24/8OZ CAN                        ","24/8 OZ  ","       "," 24","000000000000 ","000000000000","00000000000000","PTB","POLAR TONIC    ","POB","POLAR BEVERAGE","PC ","POLAR CORPORATIO"
"00425  ","POLAR CLUB SODA                  ","24/8OZ CAN                        ","24/8 OZ  ","       "," 24","000000000000 ","000000000000","00000000000000","PSB","POLAR SODA     ","POB","POLAR BEVERAGE","PC ","POLAR CORPORATIO"
"00426  ","POLAR GINGER ALE                 ","12/12OZ CAN                       ","12/12OZ  ","       "," 12","000000000000 ","000000000000","00000000000000","PIB","POLAR GINGER   ","POB","POLAR BEVERAGE","PC ","POLAR CORPORATIO"
"00436  ","POLAR CRANBERRY LIME SELTZER     ","12/12OZ CAN                       ","12/12OZ  ","       "," 12","000000000000 ","000000000000","00000000000000","PNB","POLAR CRANBERY ","POB","POLAR BEVERAGE","PC ","POLAR CORPORATIO"
"00438  ","SUNQUICK EXOTIC                  ","12/330                            ","12/330 ML","       "," 12","775345103802 ","000000000000","00000000000000","SQE","SUNQUICKEXOTIC ","SQK","SUNQUICK      ","CO ","CORO FOODS A/S  "
"00439  ","SUNQUICK MIX                     ","12/330GUA/STRA                    ","12/330 ML","       "," 12","775345101808 ","000000000000","00000000000000","SQK","SUNQUICK MIX   ","SQK","SUNQUICK      ","CO ","CORO FOODS A/S  "
"00440  ","SUNQUICK PASSION FRUIT           ","12/330                            ","12/330 ML","       "," 12","000000000000 ","000000000000","00000000000000","SQP","SUNQUICKPASSIO ","SQK","SUNQUICK      ","CO ","CORO FOODS A/S  "
"00441  ","SUNQUICK ORANGE                  ","12/330                            ","12/330 ML","       "," 12","775345853660 ","000000000000","00000000000000","SQO","SUNQUICKORANGE ","SQK","SUNQUICK      ","CO ","CORO FOODS A/S  "
"00442  ","SUNQUICK MANDERIN                ","12/330                            ","12/330 ML","       "," 12","000000000000 ","000000000000","00000000000000","SQD","SUNQUICK MANDA ","SQK","SUNQUICK      ","CO ","CORO FOODS A/S  "
"00443  ","SUNQUICK BLACKCURRANT            ","12/330                            ","12/330 ML","       "," 12","775345855459 ","000000000000","00000000000000","SQB","SUNQUICKBLACKC ","SQK","SUNQUICK      ","CO ","CORO FOODS A/S  "
"00444  ","SUNQUICK TROPICAL                ","12/330                            ","12/330 ML","       "," 12","775345855473 ","000000000000","00000000000000","SQT","SUNQUICKTROPIC ","SQK","SUNQUICK      ","CO ","CORO FOODS A/S  "
"00445  ","SUNQUICK MANGO                   ","12/330                            ","12/330 ML","       "," 12","775345853110 ","000000000000","00000000000000","SQM","SUNQUICK MANGO ","SQK","SUNQUICK      ","CO ","CORO FOODS A/S  "
"00446  ","SUNQUICK MIX                     ","6/840GUAV/STRA                    ","6/840 ML ","       ","  6","775345121806 ","000000000000","00000000000000","SQK","SUNQUICK MIX   ","SQK","SUNQUICK      ","CO ","CORO FOODS A/S  "
"00447  ","SUNQUICK PINEAPPLE               ","6/840                             ","6/840 ML ","       ","  6","000000000000 ","000000000000","00000000000000","SQN","SUNQUICK PINE  ","SQK","SUNQUICK      ","CO ","CORO FOODS A/S  "
"00448  ","SUNQUICK PEACH/ORANGE            ","6/700                             ","6/700 ML ","       ","  6","775345855046 ","000000000000","00000000000000","SPO","SUNQUICK PEACH ","SQK","SUNQUICK      ","CO ","CORO FOODS A/S  "
"00449  ","SUNQUICK APPLE                   ","6/840                             ","6/840 ML ","       ","  6","775345855305 ","000000000000","00000000000000","SQA","SUNQUICK APPLE ","SQK","SUNQUICK      ","CO ","CORO FOODS A/S  "
"00450  ","SUNQUICK ORANGE                  ","6/700                             ","6/700 ML ","       ","  6","775345853066 ","000000000000","00000000000000","SQO","SUNQUICKORANGE ","SQK","SUNQUICK      ","CO ","CORO FOODS A/S  "
"00451  ","SUNQUICK MANDARIN                ","6/700                             ","6/700 ML ","       ","  6","775345855381 ","000000000000","00000000000000","SQD","SUNQUICK MANDA ","SQK","SUNQUICK      ","CO ","CORO FOODS A/S  "
"00452  ","SUNQUICK PASSION FRUIT           ","6/700                             ","6/700 ML ","       ","  6","775345125736 ","000000000000","00000000000000","SQP","SUNQUICKPASSIO ","SQK","SUNQUICK      ","CO ","CORO FOODS A/S  "
"00453  ","SUNQUICK BLACKCURRANT            ","6/840                             ","6/840 ML ","       ","  6","775345855244 ","000000000000","00000000000000","SQB","SUNQUICKBLACKC ","SQK","SUNQUICK      ","CO ","CORO FOODS A/S  "
"00454  ","SUNQUICK LEMON                   ","6/840                             ","6/840 ML ","       ","  6","775345855367 ","000000000000","00000000000000","SQL","SUNQUICK LEMON ","SQK","SUNQUICK      ","CO ","CORO FOODS A/S  "
"00455  ","SUNQUICK MANGO                   ","6/700                             ","6/700 ML ","       ","  6","775345853103 ","000000000000","00000000000000","SQM","SUNQUICK MANGO ","SQK","SUNQUICK      ","CO ","CORO FOODS A/S  "
"00456  ","SUNQUICK EXOTIC                  ","6/700                             ","6/700 ML ","       ","  6","775345123800 ","000000000000","00000000000000","SQE","SUNQUICKEXOTIC ","SQK","SUNQUICK      ","CO ","CORO FOODS A/S  "
"00457  ","SUNQUICK TROPICAL                ","6/700                             ","6/700 ML ","       ","  6","775345853059 ","000000000000","00000000000000","SQT","SUNQUICKTROPIC ","SQK","SUNQUICK      ","CO ","CORO FOODS A/S  "
"00458  ","SUNQUICK RED FRUIT               ","6/840                             ","6/840 ML ","       ","  6","775345855060 ","000000000000","00000000000000","SQR","SUNQUICK REDFR ","SQK","SUNQUICK      ","CO ","CORO FOODS A/S  "
"00459  ","SUNQUICK CATERING LEMON          ","6/2L                              ","6/290    ","       ","  6","000000000000 ","000000000000","00000000000000","SQL","SUNQUICK LEMON ","SQK","SUNQUICK      ","CO ","CORO FOODS A/S  "
"00460  ","SUNQUICK CATERING ORANGE         ","6/2L                              ","6/2L     ","       ","  6","775345411501 ","000000000000","00000000000000","SQO","SUNQUICKORANGE ","SQK","SUNQUICK      ","CO ","CORO FOODS A/S  "
"00461  ","SUNQUICK CATERING TROPIC         ","6/2L                              ","6/2L     ","       ","  6","775345411624 ","000000000000","00000000000000","SQT","SUNQUICKTROPIC ","SQK","SUNQUICK      ","CO ","CORO FOODS A/S  "
"00462  ","SUNQUICK CATERING APPLE          ","6/2L                              ","6/2L     ","       ","  6","775345411976 ","000000000000","00000000000000","SQA","SUNQUICK APPLE ","SQK","SUNQUICK      ","CO ","CORO FOODS A/S  "
"00463  ","SUNQUICK CATERING MANGO          ","6/2L                              ","6/2L     ","       ","  6","775345411938 ","000000000000","00000000000000","SQM","SUNQUICK MANGO ","SQK","SUNQUICK      ","CO ","CORO FOODS A/S  "
"00464  ","SUNQUICK CATERING PINEAPPLE      ","6/2L                              ","6/2L     ","       ","  6","775345411129 ","000000000000","00000000000000","SQN","SUNQUICK PINE  ","SQK","SUNQUICK      ","CO ","CORO FOODS A/S  "
"00466  ","SUNQUICK APPLE                   ","12/330                            ","12/330 ML","       "," 12","000000000000 ","000000000000","00000000000000","SQA","SUNQUICK APPLE ","SQK","SUNQUICK      ","CO ","CORO FOODS A/S  "
"00467  ","SUNQUICK MIX                     ","6/1008GUA/STRA                    ","6/1008   ","       ","  6","000000000000 ","000000000000","00000000000000","SQK","SUNQUICK MIX   ","SQK","SUNQUICK      ","CO ","CORO FOODS A/S  "
"00468  ","SUNQUICK MIX                     ","6/840ORANG/APR                    ","6/840 ML ","       ","  6","000000000000 ","000000000000","00000000000000","SQK","SUNQUICK MIX   ","SQK","SUNQUICK      ","CO ","CORO FOODS A/S  "
"00469  ","SUNTOP ORANGE                    ","30/200                            ","30/200 ML","       "," 30","775345105707 ","000000000000","00000000000000","SNO","SUNTOP ORANGE  ","SUN","SUNTOP        ","CO ","CORO FOODS A/S  "
"00470  ","SUNTOP TROPICAL                  ","30/200                            ","30/200 ML","       "," 30","775345851109 ","000000000000","00000000000000","SNT","SUNTOPTROPICAL ","SUN","SUNTOP        ","CO ","CORO FOODS A/S  "
"00471  ","SUNTOP REDFRUIT                  ","30/200                            ","30/200 ML","       "," 30","775345851420 ","000000000000","00000000000000","SNF","SUNTOPREDFRUIT ","SUN","SUNTOP        ","CO ","CORO FOODS A/S  "
"00472  ","GREAT GINSENG                    ","24/250                            ","24/250   ","       "," 24","775345403155 ","775345403155","05775345403155","GRT","GREAT GINSENG  ","GRT","GREAT         ","CO ","CORO FOODS A/S  "
"00473  ","GREAT GINGER                     ","24/250                            ","24/250   ","       "," 24","775345403353 ","000000000000","00000000000000","GRG","GREAT GINGER   ","GRT","GREAT         ","CO ","CORO FOODS A/S  "
"00474  ","GREAT GINSENG COOL               ","24/250                            ","24/250   ","       "," 24","775345403001 ","000000000000","00000000000000","GRC","GREAT COOL     ","GRT","GREAT         ","CO ","CORO FOODS A/S  "
"00483  ","SUNQUICK ICE TEA                 ","6/840                             ","6/840 ML ","       ","  6","000000000000 ","000000000000","00000000000000","SIT","SUNQUICKICETEA ","SQK","SUNQUICK      ","CO ","CORO FOODS A/S  "
"00484  ","SUNQUICK ORANGE GOLD             ","6/840                             ","6/840 ML ","       ","  6","775345121653 ","000000000000","00000000000000","SOG","SUNQUICK GOLD  ","SQK","SUNQUICK      ","CO ","CORO FOODS A/S  "
"00485  ","SUNTOP APPLE                     ","30/200                            ","30/200 ML","       "," 30","775345105714 ","000000000000","00000000000000","SNA","SUNTOP APPLE   ","SUN","SUNTOP        ","CO ","CORO FOODS A/S  "
"00486  ","SUNTOP PINEAPPLE                 ","30/200                            ","30/200 ML","       "," 30","775345851826 ","000000000000","00000000000000","SNP","SUNTOP PINEAPL ","SUN","SUNTOP        ","CO ","CORO FOODS A/S  "
"00488  ","SUNQUICK BLACKCURRANT            ","6/1008                            ","6/1008   ","       ","  6","000000000000 ","000000000000","00000000000000","SQB","SUNQUICKBLACKC ","SQK","SUNQUICK      ","CO ","CORO FOODS A/S  "
"00489  ","SAN BEN ICE TEA LEMON (PET)      ","12/500                            ","12/500   ","       "," 12","000000000000 ","000000000000","00000000000000","ITL","SBICETEA LEMON ","SAB","SAN BENEDETTO ","SF ","STANSFELD SCOTT "
"00490  ","SAN BEN ICE TEA PEACH (PET)      ","12/500                            ","12/500   ","       "," 12","000000000000 ","000000000000","00000000000000","ITP","SBICETEA PEACH ","SAB","SAN BENEDETTO ","SF ","STANSFELD SCOTT "
"00492  ","SUNQUICK ICE LOLLIES BLACKCURRANT","120/65GR                          ","120/65GR ","       ","120","000000000000 ","000000000000","00000000000000","IBL","SQ ICEBLACKCUR ","SQI","SUNQUICK ICE  ","CO ","CORO FOODS A/S  "
"00493  ","SUNQUICK ICE LOLLIES ORANGE      ","120/65GR                          ","120/65GR ","       ","120","775345855206 ","775345855206","05775345855206","IOR","SQ ICE ORANGE  ","SQI","SUNQUICK ICE  ","CO ","CORO FOODS A/S  "
"00494  ","SUNQUICK ICE LOLLIES STRAWBERRY  ","120/65GR                          ","120/65GR ","       ","120","775345855220 ","775345855220","05775345855220","IST","SQ ICESTRAWBER ","SQI","SUNQUICK ICE  ","CO ","CORO FOODS A/S  "
"00495  ","SUNQUICK ICE LOLLIES TROPICAL    ","120/65GR                          ","120/65GR ","       ","120","775345855251 ","775345855251","05775345855251","ITR","SQ ICETROPICAL ","SQI","SUNQUICK ICE  ","CO ","CORO FOODS A/S  "
"00496  ","SUNQUICK RTD ORANGE              ","24/125                            ","24/125   ","       "," 24","000000000000 ","000000000000","00000000000000","DOR","SQ RTD ORANGE  ","SRD","SUNQUICK RTD  ","CO ","CORO FOODS A/S  "
"00497  ","SUNQUICK RTD RED FRUIT           ","24/125                            ","24/125   ","       "," 24","000000000000 ","000000000000","00000000000000","DRF","SQ RTD REDFRUT ","SRD","SUNQUICK RTD  ","CO ","CORO FOODS A/S  "
"00498  ","SUNQUICK RTD ORANGE              ","24/200                            ","24/200   ","       "," 24","000000000000 ","000000000000","00000000000000","DOR","SQ RTD ORANGE  ","SRD","SUNQUICK RTD  ","CO ","CORO FOODS A/S  "
"00499  ","SUNQUICK RTD MANGO               ","24/200                            ","24/200   ","       "," 24","000000000000 ","000000000000","00000000000000","DMG","SQ RTD MANGO   ","SRD","SUNQUICK RTD  ","CO ","CORO FOODS A/S  "
"00500  ","SUNQUICK RTD RED FRUIT           ","24/200                            ","24/200   ","       "," 24","000000000000 ","000000000000","00000000000000","DRF","SQ RTD REDFRUT ","SRD","SUNQUICK RTD  ","CO ","CORO FOODS A/S  "
"00501  ","SUNQUICK RTD APPLE               ","24/200                            ","24/200   ","       "," 24","000000000000 ","000000000000","00000000000000","DAP","SQ RTD APPLE   ","SRD","SUNQUICK RTD  ","CO ","CORO FOODS A/S  "
"00502  ","GREAT GINSENG & MINT             ","24/250                            ","24/250   ","       "," 24","775345404107 ","000000000000","00000000000000","GMT","GINSENG MINT   ","GRT","GREAT         ","CO ","CORO FOODS A/S  "
"00503  ","GREAT GINSENG & LIME             ","24/250                            ","24/250   ","       "," 24","775345404152 ","000000000000","00000000000000","GGL","GINSENG LIME   ","GRT","GREAT         ","CO ","CORO FOODS A/S  "
"00504  ","GREAT JUST GINGER (NATURAL)      ","24/250                            ","24/250   ","       "," 24","775345404350 ","000000000000","00000000000000","GGN","GINGER NATURAL ","GRT","GREAT         ","CO ","CORO FOODS A/S  "
"00505  ","GREAT GINGER & LEMONGRASS        ","24/250                            ","24/250   ","       "," 24","775345404657 ","000000000000","00000000000000","GLG","GINGER/LEMONGR ","GRT","GREAT         ","CO ","CORO FOODS A/S  "
"00506  ","SUNQUICK ICE LOLLIES MIX         ","120/65GR                          ","120/65GR ","       ","120","775345838704 ","000000000000","00000000000000","IMX","SQ ICE MIX     ","SQI","SUNQUICK ICE  ","CO ","CORO FOODS A/S  "
"00507  ","SB SUCCOSO FRUTTA MIX (PET)      ","12/400                            ","12/400   ","       "," 12","000000000000 ","000000000000","00000000000000","SFM","SUCCOSO FRUTAM ","SAB","SAN BENEDETTO ","SF ","STANSFELD SCOTT "
"00508  ","SB SUCCOSO FRUTTI ROSSI (PET)    ","12/400                            ","12/400   ","       "," 12","000000000000 ","000000000000","00000000000000","SFR","SUCCOSO ROSSI  ","SAB","SAN BENEDETTO ","SF ","STANSFELD SCOTT "
"00509  ","SB SUCCOSO ARANCIA/CAROTA/LIMONE ","12/400                            ","12/400   ","       "," 12","000000000000 ","000000000000","00000000000000","SUL","SUCCOSO CAROTA ","SAB","SAN BENEDETTO ","SF ","STANSFELD SCOTT "
"00510  ","SB SUCCOSO ARANCIA ROSSO (PET)   ","12/400                            ","12/400   ","       "," 12","000000000000 ","000000000000","00000000000000","SUR","SUCCOSO ROSSO  ","SAB","SAN BENEDETTO ","SF ","STANSFELD SCOTT "
"00511  ","SB PRIMA SPREMITURA SP CLEMENTINE","24/330                            ","24/330   ","       "," 24","000000000000 ","000000000000","00000000000000","PSC","SB PRIMA CLEME ","SAB","SAN BENEDETTO ","SF ","STANSFELD SCOTT "
"00512  ","SB PRIMA SPREMITURA SP LEMON (CAN","24/330                            ","24/330   ","       "," 24","000000000000 ","000000000000","00000000000000","PSL","SB PRIMA LEMON ","SAB","SAN BENEDETTO ","SF ","STANSFELD SCOTT "
"00513  ","SUNTOP ORANGE                    ","27/250                            ","27/250 ML","       "," 27","775345100528 ","775345100528","05775345100528","SNO","SUNTOP ORANGE  ","SUN","SUNTOP        ","CO ","CORO FOODS A/S  "
"00514  ","SUNTOP TROPICAL                  ","27/250                            ","27/250 ML","       "," 27","575345100494 ","575345100494","05575345100494","SNT","SUNTOPTROPICAL ","SUN","SUNTOP        ","CO ","CORO FOODS A/S  "
"00515  ","SUNTOP RED FRUIT                 ","27/250                            ","27/250 ML","       "," 27","577534536122 ","000000000000","00000000000000","SNF","SUNTOPREDFRUIT ","SUN","SUNTOP        ","CO ","CORO FOODS A/S  "
"00516  ","SUNTOP APPLE                     ","27/250ML                          ","27/250 ML","       "," 27","775345361196 ","000000000000","00000000000000","SNA","SUNTOP APPLE   ","SUN","SUNTOP        ","CO ","CORO FOODS A/S  "
"00517  ","SUNTOP PINEAPPLE                 ","27/250ML                          ","27/250 ML","       "," 27","775345361219 ","000000000000","00000000000000","SNP","SUNTOP PINEAPL ","SUN","SUNTOP        ","CO ","CORO FOODS A/S  "
"00518  ","SUNQUICK ICE LOLLIES RASPBERRY   ","120/65GR                          ","120/65GR ","       "," 60","775345855237 ","775345855237","05775345855237","IRB","SQ ICE RASPBRY ","SQI","SUNQUICK ICE  ","CO ","CORO FOODS A/S  "
"00519  ","SB AMOR MIO LEMON                ","16/250                            ","16/250   ","       "," 16","000000000000 ","000000000000","00000000000000","AMN","AMOR MIO LEMON ","SAB","SAN BENEDETTO ","SF ","STANSFELD SCOTT "
"00520  ","SB AMOR MIO MANDARIN ORANGE      ","16/250                            ","16/250   ","       "," 16","000000000000 ","000000000000","00000000000000","AMM","AMORMIO MANDAR ","SAB","SAN BENEDETTO ","SF ","STANSFELD SCOTT "
"00521  ","SUNQUICK ICE LOLLIES LEMON       ","120/65GR                          ","120/65GR ","       "," 60","000000000000 ","000000000000","00000000000000","ILM","SQ ICE LEMON   ","SQI","SUNQUICK ICE  ","CO ","CORO FOODS A/S  "
"00522  ","SUNZEST LEMON & LIME             ","27/250ML                          ","27/250 ML","       "," 27","775345361110 ","775345361110","05775345361110","ZES","SUNZEST LEMON  ","ZES","SUNZEST       ","CO ","CORO FOODS A/S  "
"00523  ","COCA COLA 12OZ                   ","24/12OZ                           ","24/12OZ  ","       "," 24","000000000000 ","000000000000","00000000000000","CCB","COCA COLA 12OZ ","COL","COCA COLA     ","CB ","CURACAO BEVERAGE"
"00525  ","COCA COLA 12OZ 6-PACK            ","6/355                             ","6/12OZ   ","       "," 24","000000000000 ","000000000000","00000000000000","CCB","COCA COLA 12OZ ","COL","COCA COLA     ","CB ","CURACAO BEVERAGE"
"00526  ","COKE ZERO 12OZ 6-PACK            ","6/355                             ","6/12OZ   ","       "," 24","000000000000 ","000000000000","00000000000000","CCB","COCA COLA 12OZ ","COL","COCA COLA     ","CB ","CURACAO BEVERAGE"
"00527  ","BAI COCONUT PINEAPLE PUNA PET    ","12/18 OZ                          ","         ","       "," 12","813694023460 ","000000000000","00000000000000","CCP","COCONUT PINEAP ","WAP","WALTON & POST ","WP ","WALTON & POST   "
"00529  ","BAI POMEGRANATE IPANEMA PET      ","12/18 OZ                          ","         ","       "," 12","852311004034 ","000000000000","00000000000000","POM","POMEGRANATE    ","WAP","WALTON & POST ","WP ","WALTON & POST   "
"00530  ","BAI SUPERTEA LMNAD TANZ PET      ","12/18 OZ                          ","         ","       "," 12","852311004310 ","000000000000","00000000000000","STL","SUPERTEA LMNAD ","WAP","WALTON & POST ","WP ","WALTON & POST   "
"00531  ","BAI SUPERTEA PCH NARINO PET      ","12/18 OZ                          ","         ","       "," 12","813694023890 ","000000000000","00000000000000","STP","SUPERTEA PCH   ","WAP","WALTON & POST ","WP ","WALTON & POST   "
"00532  ","BAI SUPERTEA RSPBRY RIO PET      ","12/18 OZ                          ","         ","       "," 12","813694023906 ","000000000000","00000000000000","STR","SUPERTEA RSPBR ","WAP","WALTON & POST ","WP ","WALTON & POST   "
"00534  ","SNAPPLE APPLE PET                ","12/16 OZ                          ","         ","       "," 12","000000000000 ","076183003282","00076183003282","SNN","SNAPPLE APPLE  ","WAP","WALTON & POST ","WP ","WALTON & POST   "
"00536  ","REALIME SQ PET                   ","24/4.5 OZ                         ","         ","       "," 24","014800582021 ","000000000000","00000000000000","RLQ","REALIME SQ     ","WAP","WALTON & POST ","WP ","WALTON & POST   "
"00537  ","REALIME PET                      ","12/15 OZ                          ","         ","       "," 12","014800582052 ","000000000000","00000000000000","RLM","REALIME        ","WAP","WALTON & POST ","WP ","WALTON & POST   "
